app,session,session_is_demo,p1.is_bot,p1.participant_code,p1.prolific_id,p1.id_in_session,p1.id_in_group,p1.multiplier,p1.disclose,p1.contribution,p1.rt1,p1.rt2,p1.payoff,p2.is_bot,p2.participant_code,p2.prolific_id,p2.id_in_session,p2.id_in_group,p2.multiplier,p2.disclose,p2.contribution,p2.rt1,p2.rt2,p2.payoff,round_number,individual_share,total_contribution,group_id
step1,8exfcilr,0,0,6u8m0rgu,Bob4,8,1,1.2,0,5,3081,3220,11.6,1,04tazhwu,Bob0,2,2,1.2,0,6,-1,-1,10.6,4,6.6,13.2,112
step1,8exfcilr,0,0,5ywkkuyt,Bob11,3,1,1.2,0,2,2750,2413,11.6,0,v3a94mxi,Bob5,7,2,0.8,1,6,2411,2080,7.6,4,3.6,7.200000000000001,110
step1,8exfcilr,0,0,0i4dnn8x,Bob7,4,1,1.2,1,8,2739,3070,10.4,1,bak19tk0,Bob10,11,2,1.2,0,6,-1,-1,12.4,4,8.4,16.799999999999997,111
step1,8exfcilr,0,0,ysizzpta,Bob9,10,1,0.8,1,10,3068,2892,6.8,0,qtka7zku,Bob6,5,2,0.8,0,7,2463,2719,9.8,4,6.8,13.600000000000001,113
step1,8exfcilr,0,0,4mb2hcq0,Bob3,9,1,0.8,0,4,2455,3083,11.2,0,tqz4t4bh,Bob8,6,2,0.8,0,9,2172,2247,6.2,4,5.2,10.4,114
step1,8exfcilr,0,0,5ywkkuyt,Bob11,3,1,1.2,0,2,2740,2740,10.4,0,zym8ramf,Bob1,1,2,1.2,0,2,2323,2760,10.4,5,2.4,4.8,118
step1,8exfcilr,0,1,04tazhwu,Bob0,2,1,1.2,1,6,-1,-1,11.2,0,tqz4t4bh,Bob8,6,2,0.8,1,9,2396,3153,8.2,5,7.2,14.399999999999999,116
step1,8exfcilr,0,1,bak19tk0,Bob10,11,1,1.2,1,6,-1,-1,12.4,0,0i4dnn8x,Bob7,4,2,1.2,0,8,2837,2956,10.4,5,8.4,16.799999999999997,117
step1,8exfcilr,0,0,ysizzpta,Bob9,10,1,0.8,1,10,3060,2572,6.8,0,qtka7zku,Bob6,5,2,0.8,0,7,2525,2847,9.8,5,6.8,13.600000000000001,119
step1,8exfcilr,0,0,6u8m0rgu,Bob4,8,1,1.2,0,5,2295,2068,10.4,0,v3a94mxi,Bob5,7,2,0.8,0,6,3064,2223,9.4,5,5.4,10.8,115
step1,8exfcilr,0,0,qxm1e89g,Bob2,12,1,0.8,1,3,2260,2844,9.8,0,4mb2hcq0,Bob3,9,2,0.8,1,4,2605,2895,8.8,5,2.8,5.6000000000000005,120
step1,8exfcilr,0,0,zym8ramf,Bob1,1,1,1.2,0,2,2863,2938,12.2,0,6u8m0rgu,Bob4,8,2,1.2,1,5,2337,2795,9.2,6,4.2,8.4,124
step1,8exfcilr,0,1,04tazhwu,Bob0,2,1,1.2,-1,-1,-1,-1,-1.0,1,bak19tk0,Bob10,11,2,1.2,-1,-1,-1,-1,-1.0,6,-1.0,-1.0,123
step1,8exfcilr,0,0,5ywkkuyt,Bob11,3,1,1.2,0,2,2626,2417,10.4,0,qxm1e89g,Bob2,12,2,0.8,0,3,2958,2730,9.4,6,2.4,4.800000000000001,121
step1,8exfcilr,0,0,0i4dnn8x,Bob7,4,1,1.2,0,8,2201,2968,9.6,0,qtka7zku,Bob6,5,2,0.8,1,7,2608,2269,10.6,6,7.6,15.2,122
step1,8exfcilr,0,0,tqz4t4bh,Bob8,6,1,0.8,0,9,2506,2441,6.2,0,4mb2hcq0,Bob3,9,2,0.8,0,4,2264,2614,11.2,6,5.2,10.4,125
step1,8exfcilr,0,0,ysizzpta,Bob9,10,1,0.8,1,10,2766,2328,6.4,0,v3a94mxi,Bob5,7,2,0.8,1,6,2179,3068,10.4,6,6.4,12.8,126
step1,8exfcilr,0,1,bak19tk0,Bob10,11,1,1.2,1,6,-1,-1,8.8,0,zym8ramf,Bob1,1,2,1.2,0,2,2781,2201,12.8,7,4.8,9.6,130
step1,8exfcilr,0,1,04tazhwu,Bob0,2,1,1.2,1,6,-1,-1,11.6,0,ysizzpta,Bob9,10,2,0.8,1,10,2305,2300,7.6,7,7.6,15.2,128
step1,8exfcilr,0,0,0i4dnn8x,Bob7,4,1,1.2,1,8,3033,2513,8.0,0,5ywkkuyt,Bob11,3,2,1.2,0,2,2507,3232,14.0,7,6.0,12.0,129
step1,8exfcilr,0,0,qtka7zku,Bob6,5,1,0.8,1,7,2245,2284,7.0,0,qxm1e89g,Bob2,12,2,0.8,0,3,2567,3078,11.0,7,4.0,8.0,131
step1,8exfcilr,0,0,6u8m0rgu,Bob4,8,1,1.2,1,5,2908,2737,11.6,0,tqz4t4bh,Bob8,6,2,0.8,1,9,2711,2429,7.6,7,6.6,13.2,127
step1,8exfcilr,0,0,4mb2hcq0,Bob3,9,1,0.8,0,4,2237,2200,10.0,0,v3a94mxi,Bob5,7,2,0.8,0,6,2427,2735,8.0,7,4.0,8.0,132
step1,8exfcilr,0,0,zym8ramf,Bob1,1,1,1.2,0,2,3010,2190,12.8,1,bak19tk0,Bob10,11,2,1.2,0,6,-1,-1,8.8,8,4.8,9.6,135
step1,8exfcilr,0,1,04tazhwu,Bob0,2,1,1.2,0,6,-1,-1,8.8,0,qxm1e89g,Bob2,12,2,0.8,1,3,2303,2566,11.8,8,4.8,9.6,134
step1,8exfcilr,0,0,5ywkkuyt,Bob11,3,1,1.2,0,2,3005,2958,11.6,0,v3a94mxi,Bob5,7,2,0.8,0,6,2298,2773,7.6,8,3.6,7.200000000000001,133
step1,8exfcilr,0,0,6u8m0rgu,Bob4,8,1,1.2,0,5,2882,3077,12.8,0,0i4dnn8x,Bob7,4,2,1.2,0,8,3320,3091,9.8,8,7.8,15.6,136
step1,8exfcilr,0,0,qtka7zku,Bob6,5,1,0.8,0,7,2760,2724,9.8,0,ysizzpta,Bob9,10,2,0.8,1,10,3015,3500,6.8,8,6.8,13.600000000000001,137
step1,8exfcilr,0,0,4mb2hcq0,Bob3,9,1,0.8,0,4,2957,3077,11.2,0,tqz4t4bh,Bob8,6,2,0.8,1,9,2338,2523,6.2,8,5.2,10.4,138
step1,8exfcilr,0,0,zym8ramf,Bob1,1,1,1.2,0,2,2237,2073,14.0,0,0i4dnn8x,Bob7,4,2,1.2,1,8,2266,2077,8.0,9,6.0,12.0,141
step1,8exfcilr,0,1,04tazhwu,Bob0,2,1,1.2,0,6,-1,-1,8.8,0,qxm1e89g,Bob2,12,2,0.8,0,3,2974,2909,11.8,9,4.8,9.6,139
step1,8exfcilr,0,0,5ywkkuyt,Bob11,3,1,1.2,1,2,3333,2844,10.8,0,4mb2hcq0,Bob3,9,2,0.8,0,4,2397,2670,8.8,9,2.8,5.6,140
step1,8exfcilr,0,0,ysizzpta,Bob9,10,1,0.8,1,10,2651,2742,6.8,0,qtka7zku,Bob6,5,2,0.8,1,7,3089,2725,9.8,9,6.8,13.600000000000001,143
step1,8exfcilr,0,0,v3a94mxi,Bob5,7,1,0.8,1,6,2238,2505,10.0,0,tqz4t4bh,Bob8,6,2,0.8,1,9,2466,2515,7.0,9,6.0,12.0,144
step1,8exfcilr,0,0,6u8m0rgu,Bob4,8,1,1.2,0,5,2369,3058,11.6,1,bak19tk0,Bob10,11,2,1.2,0,6,-1,-1,10.6,9,6.6,13.2,142
step1,8exfcilr,0,0,zym8ramf,Bob1,1,1,1.2,0,2,2283,2729,12.2,0,6u8m0rgu,Bob4,8,2,1.2,1,5,2558,2292,9.2,10,4.2,8.4,148
step1,8exfcilr,0,1,04tazhwu,Bob0,2,1,1.2,1,6,-1,-1,8.8,0,5ywkkuyt,Bob11,3,2,1.2,1,2,2533,2411,12.8,10,4.8,9.6,147
step1,8exfcilr,0,0,0i4dnn8x,Bob7,4,1,1.2,1,8,2945,2947,9.6,0,qtka7zku,Bob6,5,2,0.8,1,7,2964,2662,10.6,10,7.6,15.2,145
step1,8exfcilr,0,0,v3a94mxi,Bob5,7,1,0.8,0,6,2174,2176,10.0,0,tqz4t4bh,Bob8,6,2,0.8,1,9,2274,2188,7.0,10,6.0,12.0,149
step1,8exfcilr,0,0,4mb2hcq0,Bob3,9,1,0.8,0,4,2397,2065,8.8,0,qxm1e89g,Bob2,12,2,0.8,0,3,2411,3066,9.8,10,2.8,5.6000000000000005,150
step1,8exfcilr,0,1,bak19tk0,Bob10,11,1,1.2,0,6,-1,-1,11.6,0,ysizzpta,Bob9,10,2,0.8,1,10,2427,2522,7.6,10,7.6,15.2,146
step1,8exfcilr,0,0,zym8ramf,Bob1,1,1,1.2,0,2,3077,2083,12.8,0,tqz4t4bh,Bob8,6,2,0.8,1,9,2952,3205,5.8,11,4.8,9.6,151
step1,8exfcilr,0,1,bak19tk0,Bob10,11,1,1.2,-1,-1,-1,-1,-1.0,1,04tazhwu,Bob0,2,2,1.2,-1,-1,-1,-1,-1.0,11,-1.0,-1.0,154
step1,8exfcilr,0,0,5ywkkuyt,Bob11,3,1,1.2,1,2,3157,3069,14.0,0,0i4dnn8x,Bob7,4,2,1.2,1,8,2916,2947,8.0,11,6.0,12.0,153
step1,8exfcilr,0,0,4mb2hcq0,Bob3,9,1,0.8,0,4,2806,2951,10.4,0,qtka7zku,Bob6,5,2,0.8,1,7,2780,2314,7.4,11,4.4,8.8,155
step1,8exfcilr,0,0,qxm1e89g,Bob2,12,1,0.8,0,3,2908,2294,10.6,0,v3a94mxi,Bob5,7,2,0.8,1,6,2499,2524,7.6,11,3.6,7.200000000000001,156
step1,8exfcilr,0,0,6u8m0rgu,Bob4,8,1,1.2,1,5,2542,2506,12.0,0,ysizzpta,Bob9,10,2,0.8,1,10,2966,2871,7.0,11,7.0,14.0,152
step1,8exfcilr,0,0,zym8ramf,Bob1,1,1,1.2,0,2,3157,2862,10.8,0,4mb2hcq0,Bob3,9,2,0.8,0,4,2178,2184,8.8,12,2.8,5.6,158
step1,8exfcilr,0,0,6u8m0rgu,Bob4,8,1,1.2,0,5,2737,2528,11.6,1,04tazhwu,Bob0,2,2,1.2,0,6,-1,-1,10.6,12,6.6,13.2,160
step1,8exfcilr,0,0,0i4dnn8x,Bob7,4,1,1.2,1,8,2540,2067,8.0,0,5ywkkuyt,Bob11,3,2,1.2,0,2,3196,2284,14.0,12,6.0,12.0,159
step1,8exfcilr,0,0,v3a94mxi,Bob5,7,1,0.8,0,6,2687,3003,9.2,0,qtka7zku,Bob6,5,2,0.8,1,7,2920,2730,8.2,12,5.2,10.400000000000002,161
step1,8exfcilr,0,0,qxm1e89g,Bob2,12,1,0.8,0,3,2441,2850,11.8,0,tqz4t4bh,Bob8,6,2,0.8,1,9,2287,2521,5.8,12,4.8,9.600000000000001,162
step1,8exfcilr,0,1,bak19tk0,Bob10,11,1,1.2,0,6,-1,-1,11.6,0,ysizzpta,Bob9,10,2,0.8,1,10,2522,2187,7.6,12,7.6,15.2,157
step1,8exfcilr,0,1,04tazhwu,Bob0,2,1,1.2,0,6,-1,-1,8.8,0,zym8ramf,Bob1,1,2,1.2,0,2,2205,2527,12.8,13,4.8,9.6,166
step1,8exfcilr,0,0,5ywkkuyt,Bob11,3,1,1.2,0,2,2279,2892,12.0,0,qtka7zku,Bob6,5,2,0.8,1,7,2898,2624,7.0,13,4.0,8.0,163
step1,8exfcilr,0,0,0i4dnn8x,Bob7,4,1,1.2,1,8,2623,2533,8.4,0,4mb2hcq0,Bob3,9,2,0.8,0,4,3168,2973,12.4,13,6.4,12.8,164
step1,8exfcilr,0,0,qxm1e89g,Bob2,12,1,0.8,0,3,2835,2848,11.8,0,tqz4t4bh,Bob8,6,2,0.8,1,9,2796,2630,5.8,13,4.8,9.600000000000001,168
step1,8exfcilr,0,0,ysizzpta,Bob9,10,1,0.8,1,10,2941,3020,6.4,0,v3a94mxi,Bob5,7,2,0.8,1,6,2617,2427,10.4,13,6.4,12.8,167
step1,8exfcilr,0,0,6u8m0rgu,Bob4,8,1,1.2,0,5,3076,3131,11.6,1,bak19tk0,Bob10,11,2,1.2,1,6,-1,-1,10.6,13,6.6,13.2,165
step1,8exfcilr,0,0,zym8ramf,Bob1,1,1,1.2,0,2,2832,2633,11.6,0,v3a94mxi,Bob5,7,2,0.8,0,6,2449,2742,7.6,14,3.6,7.200000000000001,170
step1,8exfcilr,0,1,04tazhwu,Bob0,2,1,1.2,0,6,-1,-1,10.6,0,6u8m0rgu,Bob4,8,2,1.2,0,5,3196,2195,11.6,14,6.6,13.2,171
step1,8exfcilr,0,0,0i4dnn8x,Bob7,4,1,1.2,0,8,3178,2856,8.0,0,5ywkkuyt,Bob11,3,2,1.2,0,2,2458,2856,14.0,14,6.0,12.0,172
step1,8exfcilr,0,0,4mb2hcq0,Bob3,9,1,0.8,1,4,2667,2282,10.4,0,qtka7zku,Bob6,5,2,0.8,0,7,3112,2285,7.4,14,4.4,8.8,173
step1,8exfcilr,0,0,qxm1e89g,Bob2,12,1,0.8,0,3,2257,2620,11.8,0,tqz4t4bh,Bob8,6,2,0.8,1,9,2708,3068,5.8,14,4.8,9.600000000000001,174
step1,8exfcilr,0,1,bak19tk0,Bob10,11,1,1.2,0,6,-1,-1,11.6,0,ysizzpta,Bob9,10,2,0.8,1,10,2423,2865,7.6,14,7.6,15.2,169
step1,8exfcilr,0,0,6u8m0rgu,Bob4,8,1,1.2,0,5,3093,3457,9.2,0,zym8ramf,Bob1,1,2,1.2,0,2,2888,2533,12.2,15,4.2,8.4,177
step1,8exfcilr,0,0,5ywkkuyt,Bob11,3,1,1.2,0,2,2317,2188,12.8,1,04tazhwu,Bob0,2,2,1.2,0,6,-1,-1,8.8,15,4.8,9.6,178
step1,8exfcilr,0,0,0i4dnn8x,Bob7,4,1,1.2,1,8,2319,2616,10.4,0,tqz4t4bh,Bob8,6,2,0.8,1,9,2430,2205,9.4,15,8.4,16.8,176
step1,8exfcilr,0,0,qtka7zku,Bob6,5,1,0.8,0,7,3100,2076,8.2,0,v3a94mxi,Bob5,7,2,0.8,1,6,2859,2638,9.2,15,5.2,10.400000000000002,179
step1,8exfcilr,0,0,ysizzpta,Bob9,10,1,0.8,1,10,2290,2412,5.6,0,4mb2hcq0,Bob3,9,2,0.8,0,4,2547,2523,11.6,15,5.6,11.2,180
step1,8exfcilr,0,1,bak19tk0,Bob10,11,1,1.2,1,6,-1,-1,8.8,0,qxm1e89g,Bob2,12,2,0.8,0,3,2254,2456,11.8,15,4.8,9.6,175
